,0,1,vars,t
1,8.802178286330707e-06,0.0,1,276
0,0.0,0.007408326537810447,0,277
1,1.3038439072385681e-05,0.0,1,277
0,0.0,0.007725606546502744,0,278
1,1.4179195094860849e-05,0.0,1,278
0,0.0,0.007676233322985093,0,279
1,1.3998496830164534e-05,0.0,1,279
0,0.0,0.007676987436839155,0,280
1,1.4001210749341935e-05,0.0,1,280
0,0.0,0.007680003918223511,0,281
1,1.4012069080099131e-05,0.0,1,281
0,0.0,0.007712703207970312,0,282
1,1.4128206880680158e-05,0.0,1,282
0,0.0,0.007746466635997818,0,283
1,1.4244679759292748e-05,0.0,1,283
0,0.0,0.00778649816770951,0,284
1,1.4372638794062098e-05,0.0,1,284
0,0.0,0.007793768736079328,0,285
1,1.436945723768709e-05,0.0,1,285
0,0.0,0.007742959868526893,0,286
1,1.4158097323299365e-05,0.0,1,286
0,0.0,0.0076981025248833886,0,287
1,1.3990681371393501e-05,0.0,1,287
0,0.0,0.007686425550689706,0,288
1,1.395043550742531e-05,0.0,1,288
0,0.0,0.0076856715102511285,0,289
1,1.3948369583746376e-05,0.0,1,289
0,0.0,0.0076856715102511285,0,290
1,1.3948369583746376e-05,0.0,1,290
0,0.0,0.0076856715102511285,0,291
1,1.3948369583746376e-05,0.0,1,291
0,0.0,-2.1253854461948265,0,292
1,0.9746230504552708,0.0,1,292
0,0.0,-0.34744007798113646,0,293
1,0.02843378343250804,0.0,1,293
0,0.0,-0.053898144241438545,0,294
1,0.0006859876914222005,0.0,1,294
0,0.0,-0.004194146716989124,0,295
1,4.1538923788448445e-06,0.0,1,295
0,0.0,0.005812020841944794,0,296
1,7.976559942180652e-06,0.0,1,296
0,0.0,0.006119526050715625,0,297
1,8.842935163340668e-06,0.0,1,297
0,0.0,0.006293366903555046,0,298
1,9.35247151017493e-06,0.0,1,298
0,0.0,0.006162576063543649,0,299
1,8.967737645257487e-06,0.0,1,299
0,0.0,0.005974109292852595,0,300
1,8.4276037293087e-06,0.0,1,300
0,0.0,0.005864335229298422,0,301
1,8.120724882920951e-06,0.0,1,301
0,0.0,0.005861588898448275,0,302
1,8.113115583626693e-06,0.0,1,302
0,0.0,0.005861588898448275,0,303
1,8.113115583626693e-06,0.0,1,303
0,0.0,0.0076856715102511285,0,304
1,1.3948369583746376e-05,0.0,1,304
0,0.0,-4.2539616956919035,0,305
1,3.310924147179186,0.0,1,305
0,0.0,-0.6651404221284938,0,306
